scoring_title,start,stop,duration,category,sender,behaviour,receiver,bout_id,bout
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Anton,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Anton | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Astrid,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Astrid | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Elen,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Elen | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Heidi,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Heidi | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Jakob,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Jakob | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Joey,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Joey | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Jonas,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Jonas | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Klara,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Klara | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Lasse,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Lasse | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Lena,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Lena | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Mojo,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Mojo | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Sophie,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Sophie | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Sven,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Sven | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Unknown,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Unknown | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Feeding,Willi,Before Feeding,NA,1,2011-03-22-142045-nm-bf-lena.arch | Feeding | Willi | Before Feeding | NA
2011-03-22-142045-nm-bf-lena.arch,0,NA,NA,Nearest neighbour,Lena,Lasse,NA,1,2011-03-22-142045-nm-bf-lena.arch | Nearest neighbour | Lena | Lasse | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Anton,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Anton | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Astrid,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Astrid | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Elen,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Elen | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Heidi,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Heidi | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Jakob,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Jakob | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Joey,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Joey | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Jonas,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Jonas | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Klara,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Klara | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Lasse,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Lasse | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Lena,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Lena | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Mojo,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Mojo | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Sophie,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Sophie | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Sven,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Sven | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Unknown,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Unknown | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Time.1,Willi,Afternoon,NA,1,2011-03-22-142045-nm-bf-lena.arch | Time.1 | Willi | Afternoon | NA
2011-03-22-142045-nm-bf-lena.arch,0,300,300,Total,NA,total duration,NA,NA,2011-03-22-142045-nm-bf-lena.arch | Total | total duration | NA | NA
2011-03-22-142045-nm-bf-lena.arch,45,84.4,39.400000000000006,Behavior,Lena,Autopreening,NA,1,2011-03-22-142045-nm-bf-lena.arch | Behavior | Lena | Autopreening | NA
2011-03-22-142045-nm-bf-lena.arch,152.2,152.2,0,Behavior,Lena,Stretch,NA,1,2011-03-22-142045-nm-bf-lena.arch | Behavior | Lena | Stretch | NA
2011-03-22-142045-nm-bf-lena.arch,167.6,171.4,3.8000000000000114,Behavior,Lena,Approach,Sophie,1,2011-03-22-142045-nm-bf-lena.arch | Behavior | Lena | Approach | Sophie
2011-03-22-142045-nm-bf-lena.arch,171.6,171.6,0,Contact Sit,Lena,Initiate Contact sit,Sophie,1,2011-03-22-142045-nm-bf-lena.arch | Contact Sit | Lena | Initiate Contact sit | Sophie
2011-03-22-142045-nm-bf-lena.arch,171.8,214.6,42.79999999999998,Contact Sit,Lena,Contact Sit,Sophie,1,2011-03-22-142045-nm-bf-lena.arch | Contact Sit | Lena | Contact Sit | Sophie
2011-03-22-142045-nm-bf-lena.arch,214.8,214.8,0,Contact Sit,Sophie,Terminate Contact sit,Lena,1,2011-03-22-142045-nm-bf-lena.arch | Contact Sit | Sophie | Terminate Contact sit | Lena
2011-03-22-143059-nm-bf-heidi.arch,0,361.2,361.2,Feeding,Anton,Before Feeding,NA,1,2011-03-22-143059-nm-bf-heidi.arch | Feeding | Anton | Before Feeding | NA
2011-03-22-143059-nm-bf-heidi.arch,0,361.2,361.2,Feeding,Astrid,Before Feeding,NA,1,2011-03-22-143059-nm-bf-heidi.arch | Feeding | Astrid | Before Feeding | NA
2011-03-22-143059-nm-bf-heidi.arch,0,361.2,361.2,Feeding,Elen,Before Feeding,NA,1,2011-03-22-143059-nm-bf-heidi.arch | Feeding | Elen | Before Feeding | NA
